
1110,电网故障超时,机侧故障字3,故障
1107,发电机过速,机侧故障字3,故障
1106,发电机欠速,机侧故障字3,故障
1105,编码器A/B信号丢失,机侧故障字3,故障
1104,Crowbar导通失败,机侧故障字3,故障
1103,Crowbar异常导通,机侧故障字3,故障
1102,Crowbar导通超时,机侧故障字3,故障
1101,编码器Z信号丢失,机侧故障字3,故障
1100,网侧故障,机侧故障字3,故障
1109,转子硬件过流超时,机侧故障字3,故障
1108,并网重复检测失败,机侧故障字3,故障
1000,IGBT故障,网侧故障字1,故障
1121,预留,机侧故障字4,故障
1120,预留,机侧故障字4,故障
1118,预留,机侧故障字4,故障
1117,预留,机侧故障字4,故障
1116,预留,机侧故障字4,故障
1115,预留,机侧故障字4,故障
1114,预留,机侧故障字4,故障
1113,预留,机侧故障字4,故障
1112,预留,机侧故障字4,故障
1111,脉冲封锁次数超限,机侧故障字3,故障
1119,预留,机侧故障字4,故障
1011,母线硬件过压,网侧故障字1,故障
1010,紧急停机,网侧故障字1,故障
1008,电网过压,网侧故障字1,故障
1007,滤波电容电流超限,网侧故障字1,故障
1006,网侧电流不平衡超限,网侧故障字1,故障
1127,预留,机侧故障字4,故障
1005,网侧漏电流过大,网侧故障字1,故障
1126,预留,机侧故障字4,故障
1004,AD7606故障,网侧故障字1,故障
1125,预留,机侧故障字4,故障
1003,主接触器断开失败,网侧故障字1,故障
1124,预留,机侧故障字4,故障
1002,直流母线欠压,网侧故障字1,故障
1123,预留,机侧故障字4,故障
1001,直流母线瞬时过压,网侧故障字1,故障
1122,预留,机侧故障字4,故障
1009,电网欠压,网侧故障字1,故障
1022,FLASH参数校验错误,网侧故障字2,故障
1021,CPLD故障,网侧故障字2,故障
1020,传感器自检故障,网侧故障字2,故障
1019,FLASH故障,网侧故障字2,故障
1018,电网相序反,网侧故障字2,故障
1017,电网异常,网侧故障字2,故障
1016,直流母线放电超时,网侧故障字2,故障
1015,机侧故障,网侧故障字1,故障
1014,主接触器异常断开,网侧故障字1,故障
1013,主接触器异常闭合,网侧故障字1,故障
1012,I2C通信故障,网侧故障字1,故障
1033,网侧峰值过流,网侧故障字3,故障
2001,网侧电抗器过温,监控节点故障字1,故障
1032,直流母线过压,网侧故障字3,故障
2000,保留,监控节点故障字1,故障
1031,滤波电容放电超时,网侧故障字2,故障
1030,Chopper持续导通超时,网侧故障字2,故障
1029,Chopper单次导通超时,网侧故障字2,故障
1028,Chopper放电超时,网侧故障字2,故障
1027,网侧C相逆变异常,网侧故障字2,故障
1026,网侧B相逆变异常,网侧故障字2,故障
1025,网侧A相逆变异常,网侧故障字2,故障
1024,主接触器闭合失败,网侧故障字2,故障
1023,直流母线充电异常,网侧故障字2,故障
1044,脉冲封锁超时,网侧故障字3,故障
2012,MCB合闸失败,监控节点故障字1,故障
1043,Chopper测试失败,网侧故障字3,故障
2011,辅助变压器过温,监控节点故障字1,故障
1042,滤波电容接触器异常断开,网侧故障字3,故障
2010,手动紧急停机,监控节点故障字1,故障
1041,滤波电容接触器异常闭合,网侧故障字3,故障
1040,正负母线电压偏差大,网侧故障字3,故障
2009,水冷温度故障,监控节点故障字1,故障
2008,辅助电源失压,监控节点故障字1,故障
1039,脉冲封锁次数超限,网侧故障字3,故障
2007,水冷压力故障,监控节点故障字1,故障
1038,电网电压不平衡超限,网侧故障字3,故障
2006,并网接触器异常合闸,监控节点故障字1,故障
1037,电网欠频,网侧故障字3,故障
2005,并网/控制柜风扇故障,监控节点故障字1,故障
1036,电网过频,网侧故障字3,故障
2004,机侧电抗器过温,监控节点故障字1,故障
1035,锁相失败,网侧故障字3,故障
2003,网侧熔断器断开,监控节点故障字1,故障
1034,网侧硬件过流,网侧故障字3,故障
2002,电抗器风扇故障,监控节点故障字1,故障
1055,预留,网侧故障字4,故障
2023,机侧模组过温,监控节点故障字2,故障
1054,预留,网侧故障字4,故障
2022,网侧模组过温,监控节点故障字2,故障
1053,预留,网侧故障字4,故障
2021,备用,监控节点故障字2,故障
1052,预留,网侧故障字4,故障
2020,备用,监控节点故障字2,故障
1051,预留,网侧故障字4,故障
1050,预留,网侧故障字4,故障
2019,主控安全链断开,监控节点故障字2,故障
2018,备用,监控节点故障字2,故障
1049,预留,网侧故障字4,故障
2017,机侧模组风扇故障,监控节点故障字2,故障
1048,预留,网侧故障字4,故障
2016,备用,监控节点故障字2,故障
1047,滤波电容接触器闭合失败,网侧故障字3,故障
2015,散热风扇开关跳闸,监控节点故障字1,故障
1046,电网故障超时,网侧故障字3,故障
2014,电网检测开关跳闸,监控节点故障字1,故障
1045,网侧硬件过流超时,网侧故障字3,故障
2013,MCB过流脱扣,监控节点故障字1,故障
1066,直流母线欠压,机侧故障字1,故障
2034,温度检测板通讯故障,其它故障字,故障
3002,模组环境过温告警,告警信息,告警
1065,直流母线瞬时过压,机侧故障字1,故障
2033,LVRT组件触发次数超限,其它故障字,故障
3001,电量参数校验告警,告警信息,告警
1064,IGBT故障,机侧故障字1,故障
2032,内部指令响应超时,其它故障字,故障
3000,系统参数校验告警,告警信息,告警
1063,预留,网侧故障字4,故障
2031,塔基风扇故障,监控节点故障字2,故障
1062,预留,网侧故障字4,故障
2030,对外供电熔断器节点故障,监控节点故障字2,故障
1061,预留,网侧故障字4,故障
1060,预留,网侧故障字4,故障
2029,辅电变压器熔断器节点故障,监控节点故障字2,故障
2028,Crowbar电阻环境过温,监控节点故障字2,故障
1059,预留,网侧故障字4,故障
2027,灭火器动作,监控节点故障字2,故障
1058,预留,网侧故障字4,故障
2026,并联模组温差大,监控节点故障字2,故障
1057,预留,网侧故障字4,故障
2025,柜内环境过温,监控节点故障字2,故障
1056,预留,网侧故障字4,故障
2024,温度检测异常,监控节点故障字2,故障
1077,并网接触器异常闭合,机侧故障字1,故障
2045,预留,其它故障字,故障
3013,预留,告警信息,告警
1076,I2C通信故障,机侧故障字1,故障
2044,预留,其它故障字,故障
3012,预留,告警信息,告警
1075,母线硬件过压,机侧故障字1,故障
2043,预留,其它故障字,故障
3011,预留,告警信息,告警
1074,紧急停机,机侧故障字1,故障
2042,预留,其它故障字,故障
3010,柜体风扇状态告警,告警信息,告警
1073,电网欠压,机侧故障字1,故障
2041,预留,其它故障字,故障
1072,电网过压,机侧故障字1,故障
2040,预留,其它故障字,故障
1071,并网电流峰值过流,机侧故障字1,故障
1070,转子电流不平衡超限,机侧故障字1,故障
3009,计量板通讯异常告警,告警信息,告警
3008,水温告警,告警信息,告警
2039,水冷温度超限制,其它故障字,故障
3007,UPS自检异常告警,告警信息,告警
2038,功率偏差保护,其它故障字,故障
3006,湿度检测异常告警,告警信息,告警
1069,转子漏电流过大,机侧故障字1,故障
2037,与风扇串口通讯故障,其它故障字,故障
3005,转子防雷异常告警,告警信息,告警
1068,AD7606故障,机侧故障字1,故障
2036,与主控CAN通讯故障,其它故障字,故障
3004,网侧防雷异常告警,告警信息,告警
1067,并网接触器断开失败,机侧故障字1,故障
2035,内部CAN通讯故障,其它故障字,故障
3003,辅变防雷异常告警,告警信息,告警
1080,转子电流有效值过大,机侧故障字2,故障
1088,并网接触器闭合失败,机侧故障字2,故障
2056,预留,其它故障字,故障
